NU_CPF,NU_IDADE,CO_SEXO,NM_ESTADO_CASA,NM_MUNICIPIO_CASA,NM_BAIRRO_CASA,CO_LOGRADOURO_IBGE_CASA,NM_ESTADO_TRAB,NM_MUNICIPIO_TRAB,NM_BAIRRO_TRAB,CO_LOGRADOURO_IBGE_TRAB,QDE_PESSOAS_RESIDENTE,IC_DOENCA_CRONICA,IC_DIABETES,IC_HIPERTENSAO,IC_INSUFICIENCIA_CARDIACA,IC_INSUFICIENCIA_RENAL,IC_DOENCA_RESPIRATORIA,IC_ESTOU_SENTINDO,IC_DIAGNOSTICO_CORONAVIRUS,DT_DIAGNOSTICO_CORONAVIRUS,IC_ISOLAMENTO_SOCIAL,IC_CASO_SUSPEITO,IC_ISOLAMENTO_RESIDENCIAL,IC_POSSUI_FEBRE,IC_POSSUI_TOSSE,IC_POSSUI_ESCARRO,IC_POSSUI_DIFICULDADE_RESPIRAR,IC_POSSUI_CONGESTAO_NAZAL,IC_POSSUI_OLHOS_VERMELHOS,IC_POSSUI_DIFICULDADE_ENGOLIR,IC_POSSUI_CORIZA,IC_POSSUI_PONTA_PE_AZULADO,IC_POSSUI_BATIMENTO_NARIZ,IC_VIAJOU,IC_TEVE_CONTATO_COVID,DH_CADASTRO,DH_ATUALIZACAO,NU_LONGITUDE,NU_LATITUTE
22597006350,90,2,DISTRITO FEDERAL,BRASÍLIA,BRASÍLIA,530010805060001,DISTRITO FEDERAL,BRASÍLIA,BRASÍLIA,530010805060001,5,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,12/03/2020 22:29:00,12/03/2020 22:29:00,-478879054780313,-15794087361891
39131174630,86,2,DISTRITO FEDERAL,BRASÍLIA,GAMA,530010805070170,DISTRITO FEDERAL,BRASÍLIA,GAMA,530010805070170,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,12/03/2020 22:29:00,12/03/2020 22:29:00,-482554060475793,-160408908443301
11123861078,80,1,DISTRITO FEDERAL,BRASÍLIA,BRAZLÂNDIA,530010805090052,DISTRITO FEDERAL,BRASÍLIA,BRAZLÂNDIA,530010805090052,12,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,12/03/2020 22:29:00,12/03/2020 22:29:00,-481695617895409,-157441057778378
48310126930,91,2,DISTRITO FEDERAL,BRASÍLIA,SOBRADINHO,530010805100198,DISTRITO FEDERAL,BRASÍLIA,SOBRADINHO,530010805100198,4,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,12/03/2020 22:29:00,12/03/2020 22:29:00,-478780053252121,-156017931470821
89810524071,75,3,DISTRITO FEDERAL,BRASÍLIA,SOBRADINHO,530010805100206,DISTRITO FEDERAL,BRASÍLIA,SOBRADINHO,530010805100206,13,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,12/03/2020 22:29:00,12/03/2020 22:29:00,-478877751909,-156437235005649
60034848231,31,3,DISTRITO FEDERAL,BRASÍLIA,SOBRADINHO,530010805100208,DISTRITO FEDERAL,BRASÍLIA,SOBRADINHO,530010805100208,7,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,12/03/2020 22:29:00,12/03/2020 22:29:00,-479155684461396,-156371080432973
56139523985,9,1,DISTRITO FEDERAL,BRASÍLIA,SOBRADINHO,530010805100233,DISTRITO FEDERAL,BRASÍLIA,SOBRADINHO,530010805100233,10,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,12/03/2020 22:29:00,12/03/2020 22:29:00,-479224081886173,-155851581972078
33985779545,84,2,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110177,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110177,5,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,12/03/2020 22:29:00,12/03/2020 22:29:00,-475610840377816,-157629514778304
46791901148,59,1,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110187,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110187,13,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,12/03/2020 22:29:00,12/03/2020 22:29:00,-476263085292417,-155187379569545
74704526138,63,2,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110188,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110188,6,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,12/03/2020 22:29:00,12/03/2020 22:29:00,-4766797246107,-155555892847027
13263687617,36,2,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110198,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110198,8,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,12/03/2020 22:29:00,12/03/2020 22:29:00,-475327964336879,-156304409084506
85935472603,96,2,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110200,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110200,9,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,12/03/2020 22:29:00,12/03/2020 22:29:00,-476359262415644,-156706064378332
8610781307,58,2,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110203,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110203,11,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,12/03/2020 22:29:00,12/03/2020 22:29:00,-47655143499949,-157597427893847
24317596323,58,1,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110205,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110205,5,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,12/03/2020 22:29:00,12/03/2020 22:29:00,-473644966882357,-157072280369434
69248441944,89,2,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110282,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110282,8,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,12/03/2020 22:29:00,12/03/2020 22:29:00,-476503952935761,-157163134858214
35402216902,52,3,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110288,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110288,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,12/03/2020 22:29:00,12/03/2020 22:29:00,-477237679961125,-156371420084808
17762263835,91,1,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110289,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110289,9,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,12/03/2020 22:29:00,12/03/2020 22:29:00,-477468204106356,-155892267847633
42788685726,25,2,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110293,DISTRITO FEDERAL,BRASÍLIA,PLANALTINA,530010805110293,4,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,12/03/2020 22:29:00,12/03/2020 22:29:00,-474554770518455,-155481871951277
32998577989,90,2,DISTRITO FEDERAL,BRASÍLIA,PARANOÁ,530010805120077,DISTRITO FEDERAL,BRASÍLIA,PARANOÁ,530010805120077,3,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,12/03/2020 22:29:00,12/03/2020 22:29:00,-475538105607325,-159620836612579
28883244260,61,3,DISTRITO FEDERAL,BRASÍLIA,PARANOÁ,530010805120081,DISTRITO FEDERAL,BRASÍLIA,PARANOÁ,530010805120081,13,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,12/03/2020 22:29:00,12/03/2020 22:29:00,-475197079451392,-15913578357217
87465447619,43,2,DISTRITO FEDERAL,BRASÍLIA,PARANOÁ,530010805120083,DISTRITO FEDERAL,BRASÍLIA,PARANOÁ,530010805120083,9,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,12/03/2020 22:29:00,12/03/2020 22:29:00,-473772706928156,-160075131872787
76013154866,13,2,DISTRITO FEDERAL,BRASÍLIA,PARANOÁ,530010805120084,DISTRITO FEDERAL,BRASÍLIA,PARANOÁ,530010805120084,6,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,12/03/2020 22:29:00,12/03/2020 22:29:00,-474985053697019,-159711464316343
