NU_CPF,NU_LONGITUDE,NU_LATITUTE,DH_LOCALIZACAO
22597006350,-478879054780209,-15794087361486,21/03/2020 23:20:32
39131174630,-482554060475191,-160408908442581,21/03/2020 23:20:32
11123861078,-481695617894670,-157441057778208,21/03/2020 23:20:32
48310126930,-478780053251745,-156017931470676,21/03/2020 23:20:32
89810524071,-478877751052,-156437235004764,21/03/2020 23:20:32
60034848231,-479155684460880,-156371080432648,21/03/2020 23:20:32
56139523985,-479224081885821,-155851581971247,21/03/2020 23:20:32
33985779545,-475610840377208,-157629514777358,21/03/2020 23:20:32
46791901148,-476263085291657,-155187379569518,21/03/2020 23:20:32
74704526138,-4766797245169,-155555892846123,21/03/2020 23:20:32
13263687617,-475327964336688,-156304409083903,21/03/2020 23:20:32
85935472603,-476359262415173,-156706064377786,21/03/2020 23:20:32
8610781307,-47655143499046,-157597427892851,21/03/2020 23:20:32
24317596323,-473644966881970,-157072280369354,21/03/2020 23:20:32
69248441944,-476503952934905,-157163134857923,21/03/2020 23:20:32
35402216902,-477237679960438,-156371420083898,21/03/2020 23:20:32
17762263835,-477468204105787,-155892267847605,21/03/2020 23:20:32
42788685726,-474554770518208,-155481871950691,21/03/2020 23:20:32
32998577989,-475538105606785,-159620836611584,21/03/2020 23:20:32
28883244260,-475197079450475,-15913578356513,21/03/2020 23:20:32
87465447619,-473772706927862,-160075131871972,21/03/2020 23:20:32
76013154866,-474985053696093,-159711464315965,21/03/2020 23:20:32
235933375,-475590561245380,-160069265807609,21/03/2020 23:20:32
56223173678,-482199650783252,-158051379648082,21/03/2020 23:20:32
43357613144,-482166747726506,-158204744501948,21/03/2020 23:20:32
21335208237,-481553450641382,-15878061119226,21/03/2020 23:20:32
97224614993,-482381602548908,-159396712822089,21/03/2020 23:20:32
43461622531,-482285166791074,-159360086828481,21/03/2020 23:20:32
43345418709,-482416695689573,-159399680525898,21/03/2020 23:20:32
22265096441,-48222923712443,-159397262360662,21/03/2020 23:20:32
66038077629,-482291088910806,-159476056645593,22/03/2020 23:20:32
22597006350,-478879054779482,-15794087361411,22/03/2020 23:20:32
39131174630,-482554060474927,-160408908443092,22/03/2020 23:20:32
11123861078,-481695617894429,-157441057778322,22/03/2020 23:20:32
48310126930,-478780053251473,-156017931470295,22/03/2020 23:20:32
89810524071,-478877751067,-156437235004767,22/03/2020 23:20:32
60034848231,-479155684461121,-156371080432008,22/03/2020 23:20:32
56139523985,-479224081885894,-155851581971355,22/03/2020 23:20:32
33985779545,-475610840377042,-157629514777503,22/03/2020 23:20:32
46791901148,-476263085292007,-155187379569460,22/03/2020 23:20:32
74704526138,-4766797245194,-155555892846313,22/03/2020 23:20:32
13263687617,-475327964336585,-156304409084280,22/03/2020 23:20:32
85935472603,-476359262415348,-156706064378316,22/03/2020 23:20:32
8610781307,-47655143499489,-157597427893381,22/03/2020 23:20:32
24317596323,-473644966881852,-157072280368629,22/03/2020 23:20:32
69248441944,-476503952934786,-157163134857268,22/03/2020 23:20:32
35402216902,-477237679960689,-156371420084465,22/03/2020 23:20:32
17762263835,-477468204105698,-155892267846846,22/03/2020 23:20:32
42788685726,-474554770517978,-155481871950868,22/03/2020 23:20:32
32998577989,-475538105606944,-159620836612536,22/03/2020 23:20:32
28883244260,-475197079450765,-15913578357111,22/03/2020 23:20:32
87465447619,-473772706928008,-160075131872787,22/03/2020 23:20:32
76013154866,-474985053696076,-159711464315950,22/03/2020 23:20:32
235933375,-475590561245432,-160069265808106,22/03/2020 23:20:32
56223173678,-482199650783212,-158051379648295,22/03/2020 23:20:32
43357613144,-482166747726842,-158204744502360,22/03/2020 23:20:32
21335208237,-481553450640954,-15878061119022,22/03/2020 23:20:32
97224614993,-482381602548737,-159396712821746,22/03/2020 23:20:32
43461622531,-482285166790292,-159360086828834,22/03/2020 23:20:32
43345418709,-482416695689522,-159399680526518,22/03/2020 23:20:32
22265096441,-48222923712291,-159397262360438,23/03/2020 23:20:32
66038077629,-482291088910192,-159476056645655,23/03/2020 23:20:32
